variable,gain,pct_gain
ratio_ultimas_5,3772709.892948866,0.49214149687738173
recencia_usuario_producto,1021272.1812503338,0.13322265275131248
ratio_usuario_producto,467150.3812382221,0.06093871366020091
dias_registrados_desde_ultima_compra,430616.91251015663,0.05617300505918794
reorder_rate_producto,391333.2532553673,0.05104854030651604
ciclos_desde_ultima_compra,296154.7783372402,0.038632722911105116
vencimiento,250168.85919189453,0.03263396347143266
reorder_rate_usuario,154416.4601597786,0.020143278969732864
ciclos_totales,100438.52085399628,0.013101978524672585
freq_usuario_producto,83233.77140426636,0.010857657761123976
dias_hasta_orden_objetivo,83068.8143529892,0.010836139485815358
popularidad_producto,61443.94687151909,0.008015224293794799
ratio_ultimas_3,61385.40201973915,0.008007587249917321
dias_sin_comprar_total,59752.111203193665,0.0077945281464879565
tendencia,53344.24710607529,0.006958636726785463
cadencia_par,42493.39053440094,0.005543166959134827
recencia_relativa,40432.55983400345,0.005274336242095055
usuarios_del_producto,38119.81630921364,0.00497264406525665
posicion_media_carrito,34775.773463726044,0.004536421217940394
productos_distintos,30613.345955371857,0.0039934419370702585
mediana_dias_entre_ordenes_historicas,28965.41264653206,0.003778472753544567
afinidad_pasillo,25665.19410920143,0.0033479666883896677
posicion_relativa,25603.58210992813,0.003339929542039072
hora_orden_objetivo,25539.60539674759,0.003331583924092457
cantidad_ordenes_historicas,25267.01172709465,0.0032960246946714435
hora_ultima_compra,19318.63046002388,0.0025200717738690956
antiguedad_par,16457.887593746185,0.002146894318845978
dow_orden_objetivo,11176.18131685257,0.0014579076469486173
posicion_par,8285.840990543365,0.0010808692700160522
dow_ultima_compra,6701.095314025879,0.0008741427706186481
comprado_en_ultima,0.0,0.0
