n,hit_rate,recall,precision,cobertura,techo,pct_del_techo,f1,recall_heavy,pct_techo_heavy,f1_heavy,recall_medio,pct_techo_medio,f1_medio,recall_nuevo,pct_techo_nuevo,f1_nuevo
8,0.8558472735586633,0.32081601007983723,0.3306834203406623,0.35030590887135726,0.5253923931234981,0.6106217263111889,0.3256749908277644,0.3400924282014918,0.5495840208704151,0.35758177984103556,0.32171836574496293,0.6151320374934266,0.32611040834561944,0.29852931092017515,0.6999163651599358,0.2890654373969377
10,0.8720420683610868,0.35560439848626363,0.3025606828487597,0.38973192722588956,0.5524776286143458,0.6436539328807673,0.32694505582637945,0.3814162340034583,0.5770378121624788,0.363620202560843,0.3558236377181077,0.6491822951142826,0.32665261985183164,0.3270998097185991,0.7437460570703711,0.286229457939228
12,0.8843501124109286,0.3841058519620485,0.2792363677933163,0.42374416358074385,0.5695732538418915,0.6743748049459375,0.323381566123124,0.41527910266864076,0.6030368001377661,0.36293521293169756,0.3844449655422211,0.6818882864168558,0.3231159085960783,0.349579960160438,0.7815954277501632,0.27958353401674213
