segmento,slots_novedad,n_usuarios,hit_rate,recall,aciertos_totales,pct_objetivo_nuevo,novedad_ofrecida,precision_novedad,hit_rate_novedad,aciertos_nuevos
nuevo,0,7616,0.8298319327731093,0.3270998097185991,19378,0.5636941834688061,0.0,0.0,0.0,0
nuevo,1,7616,0.8278623949579832,0.31871619028931053,18622,0.5636941834688061,0.09965861344537816,0.04492753623188406,0.0508879271750485,341
nuevo,2,7616,0.8247111344537815,0.30721544185350225,17684,0.5636941834688061,0.19892331932773108,0.04031620553359684,0.08909118042083271,611
medio,0,10304,0.8717003105590062,0.3558236377181077,31108,0.4173170709390526,0.0,0.0,0.0,0
medio,1,10304,0.8672360248447205,0.34250764980219706,29589,0.4173170709390526,0.09986413043478261,0.030320699708454812,0.03630017452006981,312
medio,2,10304,0.8636451863354038,0.3272615191734285,27828,0.4173170709390526,0.19963121118012422,0.027891156462585033,0.0656195462478185,573
heavy,0,8323,0.9110897512916016,0.3814162340034583,28915,0.25291152629817915,0.0,0.0,0.0,0
heavy,1,8323,0.9056830469782531,0.36349647054562706,27205,0.25291152629817915,0.09996395530457768,0.01730769230769231,0.02342606149341142,144
heavy,2,8323,0.8978733629700829,0.3430913354397601,25343,0.25291152629817915,0.19991589571068125,0.014603365384615385,0.039206116804945505,243
