variable,peso,magnitud
dias_registrados_desde_ultima_compra,-0.5244438694589717,0.5244438694589717
ratio_usuario_producto,0.40591100640110817,0.40591100640110817
reorder_rate_producto,0.35714998829301015,0.35714998829301015
reorder_rate_usuario,0.3295423528319152,0.3295423528319152
recencia_relativa,-0.2680186615348872,0.2680186615348872
cantidad_ordenes_historicas,-0.23932866701664574,0.23932866701664574
recencia_usuario_producto,-0.2286565224999944,0.2286565224999944
ciclos_desde_ultima_compra,-0.2142689179422192,0.2142689179422192
posicion_relativa,-0.12271790053734483,0.12271790053734483
freq_usuario_producto,0.09405242142363493,0.09405242142363493
posicion_par,0.05106492091775115,0.05106492091775115
usuarios_del_producto,0.045905166494580124,0.045905166494580124
mediana_dias_entre_ordenes_historicas,0.044962782913383605,0.044962782913383605
productos_distintos,-0.029641903786336306,0.029641903786336306
popularidad_producto,-0.02188480416749226,0.02188480416749226
hora_ultima_compra,0.007446318379435949,0.007446318379435949
ciclo_indefinido,-0.0055767586418687095,0.0055767586418687095
dow_ultima_compra,-0.005491408006549206,0.005491408006549206
posicion_media_carrito,0.00398447715138381,0.00398447715138381
