fraccion,usuarios_entrenamiento,filas_entrenamiento,arboles,recall,hit_rate,precision
0.25,26241,1682000,218,0.3551112839203537,0.8713942765689898,0.3018709751171741
0.5,52483,3373491,367,0.3553125729189235,0.8718896467629463,0.3022139237129901
0.75,78724,5074834,593,0.35548145561115224,0.8721563845596921,0.3023206188316885
1.0,104966,6776046,433,0.35560439848626363,0.8720420683610868,0.3025606828487597
