modelo,precision,recall,recall_micro,f1,hit_rate,cobertura,n_usuarios,lift
popularidad,0.07268223907327669,0.0701818119060097,0.06867969638922096,0.07141014407169391,0.46069428037952975,0.00020125583641925616,26243,0.0
recompra_personal,0.2750828792439889,0.327078944259272,0.259934323284988,0.29883600791386755,0.8551232709674961,0.44946465947512476,26243,3.6604516950532604
lightgbm,0.3023930190908052,0.355411974499393,0.285740519364549,0.32676583801323444,0.8716610143657356,0.39061745290613425,26243,4.064160711259136
