modelo,precision,recall,recall_micro,f1,hit_rate,cobertura,n_usuarios,lift
popularidad,0.07268223907327669,0.0701818119060097,0.06867969638922096,0.07141014407169391,0.46069428037952975,0.00020125583641925616,26243,0.0
recompra_personal,0.2750828792439889,0.327078944259272,0.259934323284988,0.29883600791386755,0.8551232709674961,0.44946465947512476,26243,3.6604516950532604
heuristica,0.2849597988034904,0.3385247421140892,0.26926733015511806,0.30944132876451375,0.8545135845749343,0.43310255997423924,26243,3.8235395029050427
