segmento,n_usuarios,hit_rate,recall,hit_rate_novedad,aciertos_novedad,lugares_de_sugerencia
heavy,8323,0.9110897512916016,0.3814162340034583,0.02342606149341142,144,1
medio,10304,0.8717003105590062,0.3558236377181077,0.0656195462478185,573,2
nuevo,7616,0.8298319327731093,0.3270998097185991,0.1647515296224444,1247,5
