modelo,precision,recall,recall_micro,f1,hit_rate,cobertura,n_usuarios,lift
popularidad,0.07268223907327669,0.0701818119060097,0.06867969638922096,0.07141014407169391,0.46069428037952975,0.00020125583641925616,26243,0.0
recompra_personal,0.2750828792439889,0.327078944259272,0.259934323284988,0.29883600791386755,0.8551232709674961,0.44946465947512476,26243,3.6604516950532604
regresion_logistica,0.29244750981214035,0.34607443991264225,0.2763426999467097,0.31700901811036136,0.8672026826201272,0.36024794719046854,26243,3.931112926752576
