semilla,n,f1
42,8,0.3256749908277644
42,10,0.32694505582637945
42,12,0.323381566123124
7,8,0.32549999387930806
7,10,0.326669757378712
7,12,0.3231653277008791
2024,8,0.32592456130203096
2024,10,0.32686269214112235
2024,12,0.32316566281027703
