variable,gain,split,pct_gain,pct_split
recencia_usuario_producto,2318764.1107418537,341,0.30852477029765624,0.01789838337182448
ratio_usuario_producto,1963632.7987730503,908,0.2612725267671032,0.04765903842116313
cadencia_par,797766.7413318157,674,0.10614740821642368,0.03537686332143607
dias_registrados_desde_ultima_compra,388343.8119740486,486,0.05167135580146485,0.02550913289943313
reorder_rate_producto,370678.63319921494,1304,0.04932090316226607,0.06844425782070124
vencimiento,366045.8557462692,870,0.04870448573848037,0.0456644971656519
ciclos_desde_ultima_compra,304946.54403615,399,0.04057487435482028,0.02094268318286794
freq_usuario_producto,213147.57438635826,215,0.028360498647710414,0.011284904471971446
reorder_rate_usuario,163683.46508073807,1811,0.02177901720645586,0.0950556372034432
ciclos_totales,96885.38873958588,909,0.012891152734167735,0.04771152634893974
dias_hasta_orden_objetivo,86110.81120657921,1076,0.01145753383217359,0.05647701028763384
recencia_relativa,79072.77715492249,476,0.010521083319991147,0.024984253621667018
popularidad_producto,66993.54843854904,798,0.008913873148060525,0.04188536636573588
dias_sin_comprar_total,65556.83768367767,846,0.008722710600056,0.04440478689901323
mediana_dias_entre_ordenes_historicas,36597.96556019783,890,0.004869567743227258,0.04671425572118413
usuarios_del_producto,33756.75111865997,885,0.004491527981062145,0.04645181608230107
posicion_media_carrito,27113.858776569366,1333,0.003607653323669825,0.06996640772622297
posicion_relativa,26906.62967824936,480,0.0035800803119684687,0.025194205332773462
productos_distintos,25913.467584609985,1265,0.0034479344393508376,0.06639722863741339
cantidad_ordenes_historicas,23663.816390514374,737,0.003148605536211079,0.03868360277136259
hora_orden_objetivo,21488.188011407852,761,0.0028591257901656093,0.03994331303800126
hora_ultima_compra,16973.867444753647,599,0.0022584697297130542,0.03144026873819022
dow_orden_objetivo,9622.291345596313,389,0.0012803006624884463,0.020417803905101825
posicion_par,6595.851541996002,303,0.0008776156110423393,0.01590384211631325
dow_ultima_compra,5388.157525062561,297,0.0007169250442709592,0.01558891454965358
