segmento,tamano,usuarios_con_bloque,pct_con_bloque,precision_bloque,pct_usuarios_con_acierto,aciertos,precision_ultimo_lugar
nuevo,1,7590,0.9965861344537815,0.04492753623188406,0.04477415966386555,341,0.04492753623188406
nuevo,2,7590,0.9965861344537815,0.040330033003300333,0.0783876050420168,611,0.03557312252964427
nuevo,3,7590,0.9965861344537815,0.036532698748457604,0.1016281512605042,829,0.028722002635046113
nuevo,4,7590,0.9965861344537815,0.03455580564014299,0.1247373949579832,1044,0.028326745718050064
nuevo,5,7590,0.9965861344537815,0.03307253679883305,0.14495798319327732,1247,0.026745718050065877
nuevo,8,7590,0.9965861344537815,0.02942744784376458,0.19222689075630253,1766,0.017918313570487482
medio,1,10290,0.998641304347826,0.030320699708454812,0.030279503105590064,312,0.030320699708454812
medio,2,10290,0.998641304347826,0.027856101118133202,0.054736024844720496,573,0.025364431486880466
medio,3,10290,0.998641304347826,0.02548390234412995,0.07307841614906832,786,0.020699708454810496
medio,4,10290,0.998641304347826,0.023936364299788366,0.08967391304347826,984,0.01924198250728863
medio,5,10290,0.998641304347826,0.022331684903235855,0.10267857142857142,1147,0.01584062196307094
medio,8,10290,0.998641304347826,0.01934021472878609,0.13392857142857142,1587,0.011758989310009718
heavy,1,8320,0.9996395530457768,0.01730769230769231,0.017301453802715368,144,0.01730769230769231
heavy,2,8320,0.9996395530457768,0.01460424304345213,0.028955905322600024,243,0.011899038461538461
heavy,3,8320,0.9996395530457768,0.013103061388042956,0.03832752613240418,327,0.010096153846153847
heavy,4,8320,0.9996395530457768,0.012472950228420293,0.04781929592694942,415,0.010576923076923078
heavy,5,8320,0.9996395530457768,0.011926517264595557,0.056229724858824943,496,0.009735576923076923
heavy,8,8320,0.9996395530457768,0.010357787131689717,0.0758140093716208,689,0.007572115384615385
