slots_novedad,hit_rate,recall,precision,cobertura,novedad_ofrecida,precision_novedad,recall_novedad,hit_rate_novedad,aciertos_totales,aciertos_nuevos,usuarios_con_novedad
0,0.8720420683610868,0.35560439848626363,0.3025606828487597,0.38973192722588956,0.0,0.0,0.0,0.0,79401,0,26243
1,0.8680028960103646,0.34225974367094014,0.2873756811340167,0.3706931251006279,0.09983614678199901,0.030419847328244275,0.008216593400880887,0.037168306673506506,75416,797,26200
2,0.8632016156689403,0.3264643784469917,0.26999580840605114,0.3504669135404927,0.19951606142590408,0.027270992366412214,0.01483335865419334,0.0653826423541482,70855,1427,26200
